year,state,county,name,level,liftot,liffullown,lifpartown,valtot,valfull,valpart,valavg
1920,11,0,DELAWARE                    ,2,54888,,,2885445,,,
1925,11,0,DELAWARE              ,2,,11255,805,,679655,41400,
1930,11,0,DELAWARE              ,2,54756,11050,2731,2628590,662040,142200,
1935,11,0,DELAWARE              ,2,50576,12233,1016,1755795,500000,35800,
1940,11,0,DELAWARE              ,2,36866,,,,,,
1945,11,0,DELAWARE                  ,2,35639,14884,3502,2125825,1090555,184495,
1950,11,0,DELAWARE              ,2,20418,10035,3699,,,,114.11
1954,11,0,DELAWARE                         ,2,13451,6711,3393,,,,152.88
1959,11,0,DELAWARE                                  ,2,11867,4477,5366,,,,242.7
1964,11,0,DELAWARE                  ,2,9276,2926,4481,,,,321.74
1969,11,0,DELAWARE             ,2,6751,2715,2826,,,,963
1974,11,0,DELAWARE             ,2,7206,3170,2826,,,,971
1978,11,0,DELAWARE                    ,2,8576,1328,6381,,,,1493
1982,11,0,DELAWARE                    ,2,4951,1213,3154,,,,1829
1987,11,0,DELAWARE                    ,2,3654,1715,1858,,,,1765
1992,11,0,DELAWARE                    ,2,4715,0,3463,,,,2246
1997,11,0,DELAWARE                    ,2,3017,0,1789,,,,2660
2002,11,0,Delaware                      ,2,1333,,,,,,4054
1920,11,10,KENT                        ,1,22529,,,1419610,,,
1925,11,10,KENT                  ,1,,4571,119,,316275,11500,
1930,11,10,KENT                  ,1,23294,3565,208,1101365,248190,24150,
1935,11,10,KENT                  ,1,19003,2583,4,729050,131150,800,
1940,11,10,KENT                  ,1,16698,,,,,,
1945,11,10,KENT                      ,1,13254,3406,1253,690900,215800,49050,
1950,11,10,KENT                  ,1,8756,3301,2552,,,,82.67
1954,11,10,KENT                             ,1,4809,2181,1222,,,,129.17
1959,11,10,KENT                                      ,1,4873,1735,2613,,,,195.1
1964,11,10,KENT                      ,1,3725,1122,2018,,,,257.61
1969,11,10,KENT                 ,1,1171,733,438,,,,872
1974,11,10,KENT                 ,1,1448,1010,438,,,,876
1978,11,10,KENT                        ,1,,397,,,,,1324
1982,11,10,KENT                        ,1,,556,1266,,,,1783
1987,11,10,KENT                        ,1,396,,,,,,1568
1992,11,10,KENT                        ,1,0,0,0,,,,2033
1997,11,10,KENT                        ,1,0,0,0,,,,2556
2002,11,10,Delaware\Kent                 ,1,262,,,,,,3498
1920,11,30,NEW CASTLE                  ,1,5918,,,303880,,,
1925,11,30,NEW CASTLE            ,1,,1143,206,,96000,11200,
1930,11,30,NEW CASTLE            ,1,4970,1774,0,404925,125950,0,
1935,11,30,NEW CASTLE            ,1,3156,1121,15,247500,95200,5550,
1940,11,30,NEW CASTLE            ,1,2343,,,,,,
1945,11,30,NEW CASTLE                ,1,3372,1736,9,372475,243050,1200,
1950,11,30,NEW CASTLE            ,1,1701,681,0,,,,204.88
1954,11,30,NEW CASTLE                       ,1,1482,652,77,,,,275.12
1959,11,30,NEW CASTLE                                ,1,627,186,72,,,,396.6
1964,11,30,NEW CASTLE                ,1,1055,261,12,,,,466.61
1969,11,30,NEW CASTLE           ,1,999,0,0,,,,1355
1974,11,30,NEW CASTLE           ,1,1028,29,0,,,,1371
1978,11,30,NEW CASTLE                  ,1,,0,,,,,2363
1982,11,30,NEW CASTLE                  ,1,,,0,,,,2398
1987,11,30,NEW CASTLE                  ,1,,,0,,,,2769
1992,11,30,NEW CASTLE                  ,1,0,0,0,,,,3146
1997,11,30,NEW CASTLE                  ,1,0,0,0,,,,3708
2002,11,30,Delaware\New Castle           ,1,180,,,,,,5681
1920,11,50,SUSSEX                      ,1,26441,,,1161955,,,
1925,11,50,SUSSEX                ,1,,5541,480,,267380,18700,
1930,11,50,SUSSEX                ,1,26492,5711,2523,1122300,287900,118050,
1935,11,50,SUSSEX                ,1,28417,8529,997,779245,273650,29450,
1940,11,50,SUSSEX                ,1,17825,,,,,,
1945,11,50,SUSSEX                    ,1,19013,9742,2240,1062450,631705,134245,
1950,11,50,SUSSEX                ,1,9961,6053,1147,,,,98.75
1954,11,50,SUSSEX                           ,1,7160,3878,2094,,,,125.42
1959,11,50,SUSSEX                                    ,1,6367,2556,2681,,,,222.59
1964,11,50,SUSSEX                    ,1,4496,1543,2451,,,,313.47
1969,11,50,SUSSEX               ,1,4581,1982,2388,,,,901
1974,11,50,SUSSEX               ,1,4730,2131,2388,,,,906
1978,11,50,SUSSEX                      ,1,4839,931,3041,,,,1352
1982,11,50,SUSSEX                      ,1,2980,600,1888,,,,1682
1987,11,50,SUSSEX                      ,1,,1307,,,,,1607
1992,11,50,SUSSEX                      ,1,3732,496,0,,,,2119
1997,11,50,SUSSEX                      ,1,2894,0,1789,,,,2441
2002,11,50,Delaware\Sussex               ,1,891,,,,,,3951
1978,11,9980,ALL OTHER COUNTIES          ,1,,,,,,,
1982,11,9980,ALL OTHER COUNTIES          ,1,,,,,,,
1987,11,9980,ALL OTHER COUNTIES          ,1,,,,,,,
1992,11,9980,ALL OTHER COUNTIES          ,1,0,0,0,,,,
1997,11,9980,ALL OTHER COUNTIES          ,1,0,0,0,,,,
1920,34,0,MISSOURI                    ,2,190434,,,16542607,,,
1925,34,0,MISSOURI              ,2,,,,,,,
1930,34,0,MISSOURI              ,2,257016,,,14592597,,,
1935,34,0,MISSOURI              ,2,225326,,,7175901,,,
1940,34,0,MISSOURI              ,2,174668,,,,,,
1945,34,0,MISSOURI                  ,2,100152,20372,3725,8465464,1387540,276100,
1950,34,0,MISSOURI              ,2,81264,17984,8437,,,,63.66
1954,34,0,MISSOURI                         ,2,60767,13924,6715,,,,79.23999999999999
1959,34,0,MISSOURI                                  ,2,,,,,,,110.57
1964,34,0,MISSOURI                  ,2,,,,,,,150.38
1969,34,0,MISSOURI             ,2,54158,26388,22066,,,,398
1974,34,0,MISSOURI             ,2,73330,42690,23919,,,,396
1978,34,0,MISSOURI                    ,2,99406,53532,37131,,,,723
1982,34,0,MISSOURI                    ,2,67628,37045,22112,,,,856
1987,34,0,MISSOURI                    ,2,72667,50303,19721,,,,640
1992,34,0,MISSOURI                    ,2,82327,40752,36144,,,,774
1997,34,0,MISSOURI                    ,2,103466,56699,43172,,,,1069
2002,34,0,Missouri                      ,2,49723,,,,,,1508
1920,34,10,ADAIR                       ,1,14,,,800,,,
1925,34,10,ADAIR                 ,1,,,,,,,
1930,34,10,ADAIR                 ,1,0,,,0,,,
1935,34,10,ADAIR                 ,1,10,,,3000,,,
1940,34,10,ADAIR                 ,1,,,,,,,
1945,34,10,ADAIR                     ,1,,,,,,,
1950,34,10,ADAIR                 ,1,,,,,,,53.39
1954,34,10,ADAIR                            ,1,,,,,,,65.2
1959,34,10,ADAIR                                     ,1,,,,,,,114.67
1964,34,10,ADAIR                     ,1,,,,,,,117.53
1969,34,10,ADAIR                ,1,410,0,0,,,,295
1974,34,10,ADAIR                ,1,410,0,0,,,,299
1978,34,10,ADAIR                       ,1,,,,,,,511
1982,34,10,ADAIR                       ,1,,,,,,,635
1987,34,10,ADAIR                       ,1,,,,,,,418
1992,34,10,ADAIR                       ,1,218,0,0,,,,454
1997,34,10,ADAIR                       ,1,0,0,0,,,,650
2002,34,10,Missouri\Adair                ,1,15,,,,,,1012
1920,34,30,ANDREW                      ,1,218,,,33000,,,
1925,34,30,ANDREW                ,1,,,,,,,
1930,34,30,ANDREW                ,1,106,,,12700,,,
1935,34,30,ANDREW                ,1,101,,,5600,,,
1940,34,30,ANDREW                ,1,,,,,,,
1945,34,30,ANDREW                    ,1,,,,,,,
1950,34,30,ANDREW                ,1,,,,,,,100.29
1954,34,30,ANDREW                           ,1,,,,,,,127.68
1959,34,30,ANDREW                                    ,1,,,,,,,150.02
1964,34,30,ANDREW                    ,1,,,,,,,183.64
1969,34,30,ANDREW               ,1,0,0,0,,,,493
1974,34,30,ANDREW               ,1,0,0,0,,,,498
1978,34,30,ANDREW                      ,1,,,,,,,817
1982,34,30,ANDREW                      ,1,,,,,,,958
1987,34,30,ANDREW                      ,1,,,,,,,664
1992,34,30,ANDREW                      ,1,0,0,0,,,,775
1997,34,30,ANDREW                      ,1,0,0,0,,,,1174
2002,34,30,Missouri\Andrew               ,1,,,,,,,1838
1920,34,50,ATCHISON                    ,1,0,,,0,,,
1925,34,50,ATCHISON              ,1,,,,,,,
1930,34,50,ATCHISON              ,1,0,,,0,,,
1935,34,50,ATCHISON              ,1,0,,,0,,,
1940,34,50,ATCHISON              ,1,0,,,,,,
1945,34,50,ATCHISON                  ,1,,,,,,,
1950,34,50,ATCHISON              ,1,,,,,,,136.23
1954,34,50,ATCHISON                         ,1,,,,,,,161.34
1959,34,50,ATCHISON                                  ,1,,,,,,,182.94
1964,34,50,ATCHISON                  ,1,,,,,,,220.6
1969,34,50,ATCHISON             ,1,585,585,0,,,,549
1974,34,50,ATCHISON             ,1,585,585,0,,,,548
1978,34,50,ATCHISON                    ,1,,,,,,,1004
1982,34,50,ATCHISON                    ,1,,,,,,,941
1987,34,50,ATCHISON                    ,1,,,,,,,680
1992,34,50,ATCHISON                    ,1,0,0,0,,,,775
1997,34,50,ATCHISON                    ,1,0,0,0,,,,1119
2002,34,50,Missouri\Atchison             ,1,,,,,,,1642
1920,34,70,AUDRAIN                     ,1,3883,,,373065,,,
1925,34,70,AUDRAIN               ,1,,,,,,,
1930,34,70,AUDRAIN               ,1,2101,,,81340,,,
1935,34,70,AUDRAIN               ,1,1588,,,31080,,,
1940,34,70,AUDRAIN               ,1,621,,,,,,
1945,34,70,AUDRAIN                   ,1,,,,,,,
1950,34,70,AUDRAIN               ,1,,,,,,,63.9
1954,34,70,AUDRAIN                          ,1,,,,,,,115.25
1959,34,70,AUDRAIN                                   ,1,,,,,,,166.43
1964,34,70,AUDRAIN                   ,1,,,,,,,211.46
1969,34,70,AUDRAIN              ,1,486,416,0,,,,499
1974,34,70,AUDRAIN              ,1,486,416,0,,,,500
1978,34,70,AUDRAIN                     ,1,,,,,,,1001
1982,34,70,AUDRAIN                     ,1,,,,,,,1066
1987,34,70,AUDRAIN                     ,1,,,,,,,686
1992,34,70,AUDRAIN                     ,1,860,0,0,,,,802
1997,34,70,AUDRAIN                     ,1,0,0,0,,,,1193
2002,34,70,Missouri\Audrain              ,1,270,,,,,,1601
1920,34,90,BARRY                       ,1,0,,,0,,,
1925,34,90,BARRY                 ,1,,,,,,,
1930,34,90,BARRY                 ,1,0,,,0,,,
1935,34,90,BARRY                 ,1,0,,,0,,,
1940,34,90,BARRY                 ,1,0,,,,,,
1945,34,90,BARRY                     ,1,,,,,,,
1950,34,90,BARRY                 ,1,,,,,,,45.26
1954,34,90,BARRY                            ,1,,,,,,,55.76
1959,34,90,BARRY                                     ,1,,,,,,,81.31
1964,34,90,BARRY                     ,1,,,,,,,115.85
1969,34,90,BARRY                ,1,440,440,0,,,,366
1974,34,90,BARRY                ,1,450,450,0,,,,377
1978,34,90,BARRY                       ,1,,,,,,,620
1982,34,90,BARRY                       ,1,,,,,,,879
1987,34,90,BARRY                       ,1,,,,,,,752
1992,34,90,BARRY                       ,1,533,0,0,,,,829
1997,34,90,BARRY                       ,1,537,537,0,,,,1309
2002,34,90,Missouri\Barry                ,1,726,,,,,,1678
1920,34,110,BARTON                      ,1,70,,,5600,,,
1925,34,110,BARTON                ,1,,,,,,,
1930,34,110,BARTON                ,1,80,,,3200,,,
1935,34,110,BARTON                ,1,0,,,0,,,
1940,34,110,BARTON                ,1,0,,,,,,
1945,34,110,BARTON                    ,1,,,,,,,
1950,34,110,BARTON                ,1,,,,,,,51.14
1954,34,110,BARTON                           ,1,,,,,,,69.55
1959,34,110,BARTON                                    ,1,,,,,,,87.36
1964,34,110,BARTON                    ,1,,,,,,,127.52
1969,34,110,BARTON               ,1,,0,,,,,361
1974,34,110,BARTON               ,1,,0,,,,,360
1978,34,110,BARTON                      ,1,,,0,,,,694
1982,34,110,BARTON                      ,1,101,101,0,,,,824
1987,34,110,BARTON                      ,1,92,92,0,,,,486
1992,34,110,BARTON                      ,1,0,0,0,,,,625
1997,34,110,BARTON                      ,1,0,0,0,,,,776
2002,34,110,Missouri\Barton               ,1,,,,,,,1000
1920,34,130,BATES                       ,1,50,,,4400,,,
1925,34,130,BATES                 ,1,,,,,,,
1930,34,130,BATES                 ,1,70,,,2100,,,
